model,r2,rmse,mae,mape,max_error,explained_variance,mean_residual,std_residual,wass,train_time,inference_time,wass_per_train_second,wass_per_inference_second
OLS,0.23904644326120938,0.27128135713000306,0.1207765914986545,inf,10.93866013137597,0.23909310247259508,-0.0021242692910591375,0.2712730399547204,0.0752272323315728,1.5498950481414795,0.0015430450439453125,8.576747511769478,8614.822068747326
GLM-2,0.37231659760170077,0.24638325940938224,0.11068343139923373,inf,8.752707914900748,0.37237253937496095,-0.0023259961314734527,0.24637227981083282,0.046454422698884286,2.7596659660339355,0.009376049041748047,7.8003917630369495,2295.900498635956
GLM-3,0.33893770130687684,0.25284948213350944,0.10848011673803548,inf,6.956869577523321,0.3389393785757475,0.00040275618375846606,0.25284916136432084,0.04457784109186859,20.765851974487305,0.06351923942565918,1.0802672609156097,353.16339168879466
Spline,0.28024938332927685,0.26383468933666515,0.11880341804681026,inf,10.699297355879304,0.2802733049850037,-0.0015210254881733313,0.26383030489092596,0.06835610783641664,1.154062032699585,0.022221803665161133,12.676329525174713,658.3295775368744
Ridge,0.23887117336148367,0.27131259735370844,0.12009352149993005,inf,10.944037083476234,0.23891853950401498,-0.0021403011385319,0.2713041551356188,0.07435714101837873,0.6658103466033936,0.0010879039764404297,20.198856190392924,12361.943454900147
Lasso,0.20352934037830395,0.27754011551184504,0.10751899788250546,inf,11.238393353288007,0.20354927069937323,-0.0013883469844001666,0.2775366430058907,0.059486083466311304,0.6396148204803467,0.0011110305786132812,26.28246566062517,15130.685760497836
ElasticNet,0.20204183542298715,0.27779916442578834,0.10763877092402316,inf,11.263113657760561,0.20206004045825587,-0.0013268952398019086,0.2777959954799363,0.06302426934532436,0.24760675430297852,0.0022470951080322266,64.08106090192476,7061.073403391313
KNN,0.4192141477970551,0.23700029578019347,0.06981381264864532,inf,7.2462257574469895,0.4192775107163844,0.002475474533848884,0.23698736722815303,0.016490281806735285,1.9483098983764648,0.1768970489501953,31.125324331720034,342.8083048617811
NN-Small,0.26169187930223237,0.2672143004068041,0.11155952560342293,inf,10.574370956883588,0.2617786146896457,-0.0028962699285396444,0.2671986039679077,0.05505422821379454,19.38252282142639,0.0010292530059814453,0.937128222400922,17647.66199537926
NN-Medium,0.40749286048083344,0.23937989253187186,0.09792804337173491,inf,7.98592947986643,0.40770778633595006,-0.00455916390247731,0.23933647230015084,0.0393157190506111,30.797529220581055,0.0030629634857177734,0.8258818103707134,8304.088281247654
NN-Large,0.42763007179995005,0.2352768938207111,0.09519739324479563,inf,7.480830096628672,0.4280458324036859,0.006341069905636116,0.23519142756141007,0.03751956526368954,50.04784917831421,0.006305217742919922,0.5325455795419497,4227.0960230392675
RandomForest,0.2554782672046447,0.26833638424308764,0.09981996615598593,inf,9.639155573786955,0.25554027050319306,-0.002448771549988253,0.26832521056835107,0.04697272816519635,3.3634848594665527,0.006595134735107422,6.329431998379867,3227.9778276928646
GradientBoost,0.23416074248068497,0.2721508444315516,0.11346669299495407,inf,9.33117808425927,0.23416484820231886,-0.0006301379333803591,0.27215011492004104,0.0969967005852889,26.229661226272583,0.010715961456298828,0.3930523135364883,962.0815705906421
XGBoost,0.5151744973852505,0.21653774109403576,0.08558034130388387,inf,5.094196906089783,0.5151832203884985,-0.0009184888548627602,0.21653579310666204,0.03368993257445826,0.42742395401000977,0.0011739730834960938,69.44500293993922,25283.76345259226
